Var Name,Description,Options
Health_Liver,"""Have you ever been diagnosed with any of the following health conditions? (Check all that apply.)"" ""Liver Disease"" checked","""0"" if unchecked, ""1"" if checked"
Health_Kidney,"""Have you ever been diagnosed with any of the following health conditions? (Check all that apply.)"" ""Kidney Disease"" checked","""0"" if unchecked, ""1"" if checked"
Health_Bipolar,"""Have you ever been diagnosed with any of the following health conditions? (Check all that apply.)"" ""Bipolar"" checked","""0"" if unchecked, ""1"" if checked"
Health_Diabetes,"""Have you ever been diagnosed with any of the following health conditions? (Check all that apply.)"" ""Diabetes"" checked","""0"" if unchecked, ""1"" if checked"
Health_Other,"""Have you ever been diagnosed with any of the following health conditions? (Check all that apply.)"" ""Other"" checked","""0"" if unchecked, ""1"" if checked"
Health_Other_text,"""Have you ever been diagnosed with any of the following health conditions? (Check all that apply.)"" ""Other"" checked, additional information (free text)",
Who_Yourself,"""Who are you getting Naloxone for today?"" ""Yourself"" checked","""0"" if unchecked, ""1"" if checked"
Who_Friend,"""Who are you getting Naloxone for today?"" ""Friend"" checked","""0"" if unchecked, ""1"" if checked"
Who_Family,"""Who are you getting Naloxone for today?"" ""Family member"" checked","""0"" if unchecked, ""1"" if checked"
Who_Client,"""Who are you getting Naloxone for today?"" ""Client"" checked","""0"" if unchecked, ""1"" if checked"
Who_Carry,"""Who are you getting Naloxone for today?"" ""Just to carry"" checked","""0"" if unchecked, ""1"" if checked"
Category_Uses,"""Which category best descirbes you?"" ""Person who uses drugs"" checked","""0"" if unchecked, ""1"" if checked"
Category_Recover,"""Which category best descirbes you?"" ""Person in recovery"" checked","""0"" if unchecked, ""1"" if checked"
Category_Parent,"""Which category best descirbes you?"" ""Parent of a user"" checked","""0"" if unchecked, ""1"" if checked"
Category_Friend,"""Which category best descirbes you?"" ""Friend"" checked","""0"" if unchecked, ""1"" if checked"
Category_Provider,"""Which category best descirbes you?"" ""Provider"" checked","""0"" if unchecked, ""1"" if checked"
Category_Other,"""Which category best descirbes you?"" ""Other"" checked","""0"" if unchecked, ""1"" if checked"
Category_Other_text,"""Which category best descirbes you?"" ""Other"" checked, additional information (free text)",
Staff,Staff member who signed the form,
Date,Date the form was signed,
